,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
159,Necochea,0,AR,1564370140,94,-38.55,-58.74,42.01,7.0
160,Lebu,90,ET,1564370141,87,8.96,38.73,57.2,6.93
161,Longyearbyen,0,NO,1564370144,71,78.22,15.63,50.0,3.36
162,Tuatapere,100,NZ,1564370147,93,-46.13,167.69,52.0,1.01
163,Boyuibe,0,BO,1564370148,82,-20.43,-63.28,52.79,1.39
164,Komatipoort,0,MZ,1564370148,87,-25.43,31.96,55.4,2.24
165,Samokov,40,MK,1564370150,87,41.68,21.15,69.8,2.24
166,Bafq,0,IR,1564370155,23,31.6,55.4,80.33,7.14
167,Port Macquarie,0,AU,1564370114,39,-31.43,152.91,72.0,8.05
168,Baruun-Urt,0,MN,1564370159,44,46.68,113.28,70.97,16.28
169,Yulara,90,AU,1564370160,26,-25.24,130.99,69.8,14.99
170,Greensburg,1,US,1564370165,88,30.83,-90.67,78.01,2.64
171,Thompson,90,CA,1564370168,87,55.74,-97.86,53.6,13.87
172,Amapa,75,HN,1564370171,52,15.09,-87.97,91.4,5.82
173,Dolinsk,75,RU,1564370173,100,47.32,142.8,68.0,11.18
174,Ponta do Sol,0,BR,1564370174,53,-20.63,-46.0,58.01,4.94
175,Banikoara,100,BJ,1564370176,92,11.3,2.44,74.21,3.67
176,Cervo,0,BR,1564370180,87,-22.19,-46.24,55.85,3.94
177,Saint-Augustin,20,CA,1564370185,78,45.63,-73.98,77.0,4.7
178,Santa Marta,40,CO,1564370198,58,11.24,-74.21,87.8,11.41
179,Lovozero,100,RU,1564370200,87,68.01,35.02,40.37,16.26
180,Husavik,21,CA,1564370201,54,50.56,-96.99,69.01,5.01
181,Cruzeiro do Sul,0,BR,1564370201,69,-7.63,-72.67,70.43,0.85
182,Te Anau,100,NZ,1564370103,96,-45.41,167.72,46.49,4.27
183,Harboore,20,DK,1564370203,93,56.62,8.18,64.4,4.7
184,Conceicao do Araguaia,0,BR,1564370036,53,-8.26,-49.26,72.23,1.99
185,Khatanga,80,RU,1564370205,40,71.98,102.47,62.15,16.78
186,Abrau-Dyurso,0,RU,1564370206,93,44.7,37.6,60.8,4.47
187,Sosnovo-Ozerskoye,75,RU,1564370206,70,52.53,111.54,68.63,12.41
